Date,Close,High,Low,Open,Volume
2018-03-12,167.31759643554688,168.52532393219704,166.57219334788545,167.411941597857,1990600
2018-03-13,167.64779663085938,169.0536731965605,166.60048344900022,167.6383664354602,1679200
2018-03-14,167.27981567382812,168.88384150385048,166.30797285996456,168.70456701245425,1021600
2018-03-15,167.88369750976562,168.34603627994912,166.7420246732816,167.2609734158863,1230900
2018-03-16,168.50648498535156,169.17640344732075,167.48746199380366,168.10077046689526,1654800
2018-03-19,165.8173828125,167.54405917919314,163.68497759597003,167.32703506072892,1292900
2018-03-20,168.09130859375,168.883891548324,165.34562363464204,166.19480217502613,1451000
2018-03-21,166.68544006347656,168.78009574525794,165.8834269394865,167.57236815901894,1256500
2018-03-22,164.958740234375,167.09113080166745,164.17560201433818,164.91156045779516,1531700
2018-03-23,160.27880859375,166.69487039923675,160.25050360320913,164.9304588016961,1751500
2018-03-26,164.67567443847656,164.79833897699245,161.94885038561583,163.24149274783554,2560700
2018-03-27,163.4679718017578,167.09115456124502,162.43951875340963,166.17592147499064,1746500
2018-03-28,161.27896118164062,164.2322400538335,160.76002674231827,163.64725103656164,1592700
2018-03-29,163.5623321533203,165.26068918187255,160.2882538594081,162.58104448630274,1244000
2018-04-02,160.2882537841797,164.05296151258526,158.24077787637611,163.24151818715285,1797200
2018-04-03,160.8449249267578,161.1279892078175,158.20301563227966,161.1279892078175,1400100
2018-04-04,163.2792510986328,163.97745999293093,157.97655783556743,158.88236063548425,2024000
2018-04-05,162.12814331054688,164.7511779127122,161.40161498775709,164.35489366316722,2026800
2018-04-06,158.2124481201172,161.56201096711993,157.11795495995165,160.32597846575146,1995800
2018-04-09,160.19851684570312,162.8182144530202,158.88394195084237,159.61216405874464,1684200
2018-04-10,162.0143280029297,162.79929204948823,160.60518802281481,162.79929204948823,1663100
2018-04-11,162.2791290283203,163.5085909286399,159.93370356501708,160.4916853465089,812300
2018-04-12,164.2084197998047,164.7191117408561,161.77786730475225,162.8370887711168,708200
2018-04-13,162.6574249267578,165.18254274086863,161.82517117020484,165.18254274086863,678300
2018-04-16,165.78782653808594,166.20395344716908,163.3667402643067,163.9436408553879,852300
2018-04-17,171.1785125732422,171.6513813925053,166.04316412283427,167.0267249173446,1909100
2018-04-18,171.3582000732422,172.0958742554745,168.01028084851632,171.30145812550288,1775000
2018-04-19,169.6747589111328,172.09584446768596,169.23026115636472,170.9514958067109,1150500
2018-04-20,168.46420288085938,170.18543739580707,167.46172357434597,168.65334746930975,1264700
2018-04-23,170.51649475097656,171.98239093935982,168.95601902883539,169.3816124999353,943700
2018-04-24,168.88035583496094,173.00375756765064,167.17802541318443,171.35818351894108,1220300
2018-04-25,166.7997589111328,170.0247280355465,164.89883126791227,168.50208971220255,1505000
2018-04-26,175.1316680908203,176.27601684652888,170.9420577785549,170.97042874986252,2036400
2018-04-27,176.4651336669922,176.70156801118318,174.18590312559735,175.38699363471358,1110300
2018-04-30,174.76283264160156,178.32826718710766,174.696638518211,177.04206356302223,1444300
2018-05-01,177.0799102783203,177.33524903560792,174.3656336015108,174.79122705861073,1001200
2018-05-02,175.84103393554688,177.8460080180009,175.19793911551707,177.02320626426157,1190400
2018-05-03,176.26657104492188,177.42982420305722,173.08889226619291,174.86686906598428,1245200
2018-05-04,179.1699676513672,180.15354273900206,175.28298592391448,175.88825735060936,1191100
2018-05-07,179.2740478515625,180.9196367524964,178.46071279902915,180.19141463514592,1103000
2018-05-08,179.85093688964844,180.06845252027787,177.9405426927655,178.06349321177052,1108700
2018-05-09,182.2152557373047,183.17044548716396,179.54828329601744,180.30486180677605,932800
2018-05-10,183.75686645507812,184.17299341645474,182.2909699068884,183.9838343025095,924400
2018-05-11,183.66226196289062,185.62939814817219,182.96242528723926,183.6528097808024,1208100
2018-05-14,182.13961791992188,185.35513471851638,181.54381298926583,184.06893088524095,1090000
2018-05-15,179.4726104736328,180.52237968205367,178.3755515037714,180.13462384137364,2066200
2018-05-16,180.0779266357422,181.0425687408871,178.55528829627303,180.04955565799162,1572700
2018-05-17,179.48208618164062,180.8250318839051,178.24317219585913,179.51045715606224,991100
2018-05-18,180.20086669921875,180.67373557989674,178.03513357527117,179.00924231500284,1305400
2018-05-21,181.2884521484375,182.29093174690965,180.53185914348134,181.78023976628072,1297200
2018-05-22,180.20086669921875,182.20584056624637,179.43482142145044,182.1301798136403,1934100
2018-05-23,185.58204650878906,186.28189738194413,177.05150552580776,177.0987808513012,2200300
2018-05-24,187.05746459960938,187.44522054335818,184.09731523327662,184.89173148572812,2051000
2018-05-25,186.39541625976562,188.65572849971497,185.86580552366524,186.48052917860815,1399600
2018-05-29,186.0265655517578,187.58704110359648,184.24858884379657,185.05245706976572,1850500
2018-05-30,190.18785095214844,190.65125317410238,187.09528473480302,187.3033481763866,1532200
2018-05-31,190.66065979003906,192.40081308950548,189.29879566669769,189.99863208560967,2822900
2018-06-01,193.00608825683594,193.16686188141736,190.09321536433237,191.30375806890433,1296400
2018-06-04,195.76768493652344,195.90008762446547,192.88318234477484,193.1479877206589,1548300
2018-06-05,196.930908203125,197.18626135918052,195.02998109446568,196.00408952849,1344700
2018-06-06,198.1320343017578,198.1698574575569,195.68257729335508,196.98768541518365,1722200
2018-06-07,195.0677947998047,198.00903874940258,192.31570987860644,198.00903874940258,1231000
2018-06-08,195.0677947998047,195.9473381032781,193.40330213786544,194.91648778021587,1108100
2018-06-11,195.1623992919922,195.748751948814,194.66115955035878,195.51231756386204,766000
2018-06-12,196.2310791015625,196.46751347660043,194.8030062406157,195.56905130680911,1093300
2018-06-13,196.5148162841797,198.06582542406224,195.8149796719322,196.02304310552228,1090800
2018-06-14,197.73483276367188,198.72786019825378,196.47699993730964,197.49839834738148,797600
2018-06-15,197.6212921142578,198.78454506774824,195.49338297867885,197.31864922152124,2175400
2018-06-18,197.8104705810547,198.44411301157223,194.6327918171932,196.4107686086659,1205400
2018-06-19,199.18177795410156,199.40876015204387,195.881148842552,198.43465166927308,1824100
2018-06-20,201.93386840820312,202.1608361650307,198.75618993534013,199.40875109783653,1235800
2018-06-21,198.41574096679688,204.87513016794463,198.06580826018637,202.62427018005735,1693500
2018-06-22,194.80303955078125,199.04940684765717,194.66118467382574,198.38739337051243,2316100
2018-06-25,190.79312133789062,193.8762209243268,189.15698479063764,193.7532704102712,2058200
2018-06-26,191.14306640625,192.37252842643736,190.56616577382127,190.98229271272902,1638000
2018-06-27,187.464111328125,192.9021026180985,187.28441887222223,191.4456586087472,1276400
2018-06-28,192.94937133789062,193.63975568137838,187.68160646655872,187.68160646655872,1467800
2018-06-29,193.2235870361328,195.3136728358005,192.27784972838938,193.2708767876812,1268100
2018-07-02,194.29232788085938,195.00163105540645,190.76473080007216,191.9941780913057,1974400
2018-07-03,193.6492462158203,195.7204140873108,193.2709569082254,195.7204140873108,776700
