Date,Close,High,Low,Open,Volume
2018-03-12,269.32647705078125,272.34514052081335,268.6027824525217,272.2499091350969,289600
2018-03-13,268.2123718261719,271.0310408541824,266.6316237126108,270.74537573870657,357000
2018-03-14,266.48870849609375,270.67862689985145,265.4983546353952,270.2977305105156,321000
2018-03-15,269.35504150390625,270.51679465548364,266.3459389741209,267.0220324046296,419400
2018-03-16,272.98321533203125,273.80214146804707,269.58365474851803,269.8978864131291,744700
2018-03-19,270.2882080078125,272.66884684919387,267.9932686774569,271.7546896710526,342100
2018-03-20,275.1733703613281,275.24003524444356,270.878687237381,271.3453123586473,520600
2018-03-21,276.0209045410156,278.9824357516653,273.72599320143814,275.1734118299089,431000
2018-03-22,267.4505310058594,273.72592185454795,267.0982010346194,273.4211930457041,379200
2018-03-23,261.67034912109375,269.516926705194,261.0418568785997,267.66001648598257,467600
2018-03-26,269.03131103515625,269.6026703546205,262.65121430600806,264.7271250748708,337000
2018-03-27,264.165283203125,270.90724143551415,263.0796976493069,269.86928610770286,327900
2018-03-28,263.2891845703125,266.06025230641364,261.89889930406724,264.7651984278377,341000
2018-03-29,267.2887268066406,270.4787900736431,264.8414220234303,265.6413135397799,373400
2018-04-02,261.4703369140625,267.8218947240197,257.2518514668047,267.28863389847874,582100
2018-04-03,263.4320373535156,263.4320373535156,258.15653250726507,262.2797870042505,708800
2018-04-04,263.6225280761719,263.9558234636572,257.1567021769172,258.4898837268586,676700
2018-04-05,262.403564453125,265.82215874758845,260.98471283473214,265.78406038465806,645600
2018-04-06,255.43495178222656,262.3014944796597,254.16656371247353,261.02356024788935,565300
2018-04-09,255.663818359375,260.20336749792864,255.13930334055792,256.40769136825,625500
2018-04-10,260.4894714355469,262.7306073564598,258.75375817323055,260.00308289066226,466400
2018-04-11,257.5140686035156,259.7647808217155,256.9609439903894,258.1912060541336,441500
2018-04-12,261.6817321777344,262.9310576341313,259.097223973407,259.1163163067107,366700
2018-04-13,260.4609375,263.54135101381337,259.26883106179747,263.4269134524117,318600
2018-04-16,261.634033203125,263.226700529924,261.21440932435763,262.7593749215617,371300
2018-04-17,263.9323425292969,265.46776151854976,262.5971892551294,263.8941869774182,452200
2018-04-18,266.7075500488281,267.45142318314555,263.74157457071277,265.3151781008302,436300
2018-04-19,267.0127868652344,267.9855352702116,263.7034981302934,266.2116948074599,393900
2018-04-20,269.07269287109375,271.5236411381827,262.2347587931277,265.0672043336187,915900
2018-04-23,264.2566223144531,269.85474964915034,261.0808634795281,269.85474964915034,670400
2018-04-24,253.5371551513672,264.4949861457593,249.1788078525066,264.4949861457593,991800
2018-04-25,255.41600036621094,255.56859350452135,248.84509477349283,252.95547602918253,846100
2018-04-26,253.8804931640625,255.7878632952614,251.5534992756672,255.70203513185646,452300
2018-04-27,255.85459899902344,256.131175785608,253.0316996765787,253.88046415381373,377000
2018-04-30,251.95407104492188,257.4854330304059,251.93500782025683,256.1026070861148,527500
2018-05-01,252.50714111328125,252.8790921951849,248.1106676835186,251.7537509954285,511200
2018-05-02,250.47581481933594,253.61341716922806,249.35999068624025,251.68698415861908,637600
2018-05-03,252.4117889404297,253.34638149226558,245.5166368093541,249.64607951666716,430900
2018-05-04,256.7319641113281,257.77147706828003,249.9512499353445,251.00030905378475,366600
2018-05-07,258.0862121582031,258.44861708975384,254.6243311914432,257.10391784044145,381200
2018-05-08,259.1163024902344,259.593145130736,256.66532433305656,257.1612302016788,274400
2018-05-09,262.3302001953125,262.9024171475887,257.3424160220638,260.3656109723559,303100
2018-05-10,266.2975769042969,266.83163838428993,262.53050804318394,263.684459194151,473700
2018-05-11,266.48822021484375,267.52773348020105,265.80156577943274,266.3833288239557,390200
2018-05-14,265.7348937988281,268.2526079309123,265.3343331551822,267.0318918750786,340000
2018-05-15,265.5727233886719,265.8015985272874,262.9310258166073,264.47599121058835,306400
2018-05-16,262.97869873046875,265.8588176098731,262.45418350249935,264.8479136076375,401600
2018-05-17,262.5018310546875,263.2361581245544,261.08084952961195,262.98821978250703,454000
2018-05-18,262.71160888671875,263.63668450360535,261.6816418895188,262.3015313205104,542100
2018-05-21,268.1857604980469,269.05361737224973,264.7048159417143,264.78112704282967,407200
2018-05-22,266.822021484375,271.7907128062192,266.47870881146144,268.9392036131556,439400
2018-05-23,265.9637145996094,266.52638533568995,263.1598779797094,266.2116820475692,339300
2018-05-24,268.89154052734375,269.18718059643794,265.13401869622817,266.96507789163974,469100
2018-05-25,266.38336181640625,268.09043739996036,265.01959894099826,268.09043739996036,247900
2018-05-29,261.55767822265625,265.24843480962494,260.3655718778132,264.31381295777084,417500
2018-05-30,265.7729797363281,267.2607262930435,261.85334760533317,262.6067379446879,358900
