Date,Close,High,Low,Open,Volume
2018-03-12,18.558372497558594,18.789142448692207,18.4020442272414,18.774254482830276,4123378
2018-03-13,18.573257446289062,18.77424956150566,18.491370878253353,18.647699107591972,4475198
2018-03-14,17.910728454589844,18.684924900142875,17.784177967069876,18.617926276274584,6700734
2018-03-15,18.044723510742188,18.10427722477826,17.754399849131346,17.96283692250424,5052478
2018-03-16,18.282934188842773,18.372263813729777,17.947944855380463,18.111716142924358,6951102
2018-03-19,17.888391494750977,18.275489629124934,17.71717529708655,18.215935927566914,4610944
2018-03-20,17.933055877685547,18.0521632717946,17.73206191868824,17.918167916298465,6214864
2018-03-21,17.985166549682617,18.275490158878732,17.8288383099996,17.933057753623743,2752614
2018-03-22,16.88343048095703,17.851176112325476,16.86854251389911,17.806510359644804,5973363
2018-03-23,16.935535430908203,17.29285577731594,16.801540069567018,17.054640978706594,5550737
2018-03-26,17.404521942138672,17.41196685048092,16.980202899777456,17.196084875129188,3980460
2018-03-27,17.158863067626953,17.50874041283802,17.062088522175095,17.49385244850079,4602207
2018-03-28,16.898317337036133,17.352414188749943,16.808987689054675,17.203530824945254,2916787
2018-03-29,17.15142250061035,17.300305868605093,16.846209004111557,16.935540506113874,3193757
2018-04-02,16.43677520751953,17.13652988527949,16.36233353567384,17.076978029008167,5951847
2018-04-03,16.63776397705078,16.682429706732016,16.36977330197529,16.511211693455937,6858127
2018-04-04,16.84620475769043,16.853649664816267,16.265559398572787,16.325113101060357,3507630
2018-04-05,17.18119239807129,17.285409978454556,16.972755385798564,16.98764334706672,4347014
2018-04-06,16.779205322265625,17.11419276236238,16.600544243310374,17.002530282330127,4484847
2018-04-09,16.95042610168457,17.31519141315453,16.890872392515334,16.98764693847702,4443510
2018-04-10,17.14397430419922,17.3375233860815,17.047199763258078,17.20352801027888,3257001
2018-04-11,17.09187126159668,17.248199561263,16.972763809326427,16.995096688065487,2003466
2018-04-12,17.478965759277344,17.501296781658983,17.13653144550057,17.21841803258893,2873755
2018-04-13,17.29286003112793,17.776732802637962,17.225863259730172,17.62784944263695,2983161
2018-04-16,17.538522720336914,17.62040747108234,17.33752866962757,17.471524086264782,2151991
2018-04-17,17.67995834350586,17.86606254450891,17.598071754461817,17.605516663104638,2258919
2018-04-18,17.62784767150879,17.918171305245032,17.62784767150879,17.79161898075391,3555747
2018-04-19,17.516189575195312,17.70229380337922,17.263086713960988,17.620407202375493,4665060
2018-04-20,17.315189361572266,17.62040092771014,17.255635659459223,17.545959262945424,3575568
2018-04-23,16.41444206237793,17.099306835910127,16.35488836230909,16.451662893482666,7989738
2018-04-24,16.362335205078125,16.868540847083448,16.019902739047883,16.600550060493976,8054286
2018-04-25,16.4888858795166,16.53355162328216,16.034790940090716,16.32511457155378,4388221
2018-04-26,16.555883407592773,16.697321834381587,16.340001462249447,16.518660722562306,6280325
2018-04-27,16.704761505126953,16.75687028542442,16.451658805601504,16.56332127117001,6019786
2018-04-30,13.258106231689453,15.387145303477583,13.101778903311569,15.104266575362718,35281806
2018-05-01,13.161331176757812,13.697312683594161,13.086889506531262,13.40698998455997,19292289
2018-05-02,12.930560111999512,13.473986478279675,12.878451317762314,13.250660561647374,15012430
2018-05-03,12.64670467376709,12.945504480434732,12.445015802900945,12.885745262271072,11274123
