Date,Close,High,Low,Open,Volume
2018-03-12,98.97132873535156,100.3523626875723,98.87869786084063,100.04079195027991,1926300
2018-03-13,98.85343170166016,99.96499572207895,98.55027729384881,99.65341857386493,1575000
2018-03-14,97.76712799072266,99.34184633930938,97.24503373773088,99.03869193610906,1885000
2018-03-15,98.08712005615234,99.43446928261022,96.59660995511152,96.59660995511152,2425200
2018-03-16,98.65975189208984,99.23236973592756,98.24712114038083,98.56712102331177,2787200
2018-03-19,96.40292358398438,98.44921225326866,95.61977590994552,97.76711174706233,2133100
2018-03-20,97.3123779296875,97.71658586551544,96.57133754278134,96.83238461976711,1959900
2018-03-21,97.986083984375,98.71028552777913,97.00925160502281,97.30398972185189,4032800
2018-03-22,95.2745361328125,97.41345614615243,95.21558979650531,96.93346271488862,2175400
2018-03-23,91.9566650390625,96.36081962044645,91.90614145341274,95.54398738754853,3457300
2018-03-26,96.04927062988281,96.30190148140703,93.43035692940421,93.43035692940421,8494400
2018-03-27,94.53348541259766,97.04292223139493,94.02823023781086,96.34398901152946,7447500
2018-03-28,94.11243438720703,95.32504547053696,93.71664914919842,94.85347485061243,2573800
2018-03-29,95.56086730957031,96.53769339066612,93.66615506876921,94.21351124304252,1914600
2018-04-02,95.40925598144531,97.4471219881219,94.12926946054586,97.05133676685257,3450700
2018-04-03,96.03241729736328,96.42820257441063,94.88716874343972,95.98189370443586,2544600
2018-04-04,98.28921508789062,98.55868491742878,94.8029463574486,95.12293977231657,8453400
2018-04-05,98.95446014404297,99.95654755835784,98.45762138134886,99.07235278102118,2809100
2018-04-06,95.74607849121094,98.42393747972116,95.45134689688858,98.02815872429794,2334100
2018-04-09,96.36923217773438,97.90184288563542,95.97344699951448,96.41133301977183,2016400
2018-04-10,97.60712432861328,98.34816477904408,97.04291643289024,97.65764791567264,2720100
2018-04-11,97.3292236328125,97.63237797921988,96.3018679505061,96.53765323667467,1356200
2018-04-12,97.05976867675781,98.28080256336185,96.99239960620454,97.71660105298167,1694300
2018-04-13,97.06819915771484,97.85134704934765,96.40295036908992,97.6408234916471,1565600
2018-04-16,98.44921875,98.95447389650684,97.51449383786186,98.05343351742486,2425300
2018-04-17,99.27447509765625,100.20920008299208,98.80290444727719,99.66183762113452,3523600
2018-04-18,99.88079071044922,100.70603940495872,99.0302737939428,99.38395180587543,2008100
2018-04-19,99.15657043457031,100.23444974765324,98.65131530964614,99.68708735204059,1955400
2018-04-20,98.39028930664062,99.45975260435198,97.65767141928724,98.94607459672733,2213900
2018-04-23,98.60919952392578,99.16498461061687,98.48288414743536,98.74393763876009,1725100
2018-04-24,97.95240020751953,99.95658215448671,97.21135960079272,99.40922604678448,1417600
2018-04-25,98.27236938476562,98.37342297986149,97.09344289865142,97.9860605023286,1656100
2018-04-26,99.9481430053711,99.96498205920643,98.10395501402076,98.50816297741297,1598200
2018-04-27,100.95024108886719,101.12708008362577,99.57762998212108,99.7376299212843,2079300
2018-04-30,99.43448638916016,101.16919841512002,99.41764090705567,101.05130573906463,2828000
2018-05-01,100.040771484375,100.32708036544145,94.80294568666187,94.86189201068541,2527400
2018-05-02,102.7859878540039,104.41122947201059,101.2870616163467,103.58598097977257,5422000
2018-05-03,103.66177368164062,104.07439795693047,101.53969955548244,102.45757896322256,4370400
2018-05-04,105.56492614746094,106.0449195695671,102.71022741209235,103.15653629628439,2999500
2018-05-07,105.74176788330078,105.98597597098225,105.16072083244936,105.55650613232388,2677200
2018-05-08,105.91016387939453,106.12911012724497,105.13543890966852,105.76700943546709,2766700
2018-05-09,106.97964477539062,107.720685336596,105.99439613244664,106.17965145424645,3047200
2018-05-10,107.27438354492188,107.53543070056915,106.76070555017336,107.35859168306591,2386400
2018-05-11,107.23228454589844,107.71228446219877,106.61755930776471,107.4343918026574,1578100
2018-05-14,106.67649841308594,107.5522771922744,106.28913583425302,107.41753903024424,1884000
2018-05-15,107.00489807128906,109.0596033265093,105.49754884666072,106.07017309721971,2413800
2018-05-16,107.80487823486328,108.26803250798268,106.90383148085509,107.10593866803487,1607800
2018-05-17,107.77962493896484,108.68066539304556,106.94595355660395,107.70383955178126,1610300
2018-05-18,108.55435180664062,108.8406607122946,107.51857325308556,108.00698294065222,1858900
2018-05-21,108.49539184570312,109.21959322617302,108.28486833800065,108.8069753746507,1412300
2018-05-22,108.10807037353516,109.03436639416931,107.75438588469545,108.63016472788058,1713200
2018-05-23,108.93330383300781,108.97541111195038,107.06385372212748,107.28280000822511,1635300
2018-05-24,109.6996078491211,109.84276231182737,108.15857402210132,108.8659300199454,1265800
2018-05-25,110.01960754394531,110.33119115094023,109.23646606680705,109.69962046963322,1322900
2018-05-29,109.41329956054688,109.76699045240143,108.36068174972345,109.21962148117015,1685500
2018-05-30,110.00276184082031,111.19853398010042,109.69117827084574,109.95223824821278,1906000
2018-05-31,109.48908233642578,110.65959266268206,109.26171332360286,110.24696191338663,3318700
2018-06-01,111.77115631103516,111.82167990566879,109.99433708684036,109.99433708684036,2186800
2018-06-04,113.05111694335938,113.59847289124708,112.04060673607891,112.17534485687216,2920000
2018-06-05,112.89956665039062,113.82586248767437,112.75639934027375,113.05113742674484,2399700
2018-06-06,114.60901641845703,114.79427815530418,112.91639899083869,113.20270791166183,3151500
2018-06-07,113.90652465820312,114.83754065295645,113.13631100708993,114.53285437144027,2418100
2018-06-08,114.55823516845703,114.63440673236882,113.44100057183437,113.64413765707825,1235200
2018-06-11,113.48333740234375,114.31279134239742,113.39869371027505,114.17736660101318,1616800
2018-06-12,117.90143585205078,118.02838843910838,113.00085935465984,116.2001936966161,4683600
2018-06-13,118.78165435791016,119.26409995242061,117.29202157582375,117.97759128186811,2943300
2018-06-14,118.3415756225586,119.780427767245,118.18921958275223,119.29798204180581,1819100
2018-06-15,118.1299819946289,118.47699009207587,116.76730138180666,118.09611935621639,3497000
2018-06-18,117.63908386230469,118.00302330001408,116.63188340566593,117.25820018959618,2031900
2018-06-19,117.30899047851562,117.5205867723695,116.32718057547854,116.90271629565092,2052200
2018-06-20,116.62340545654297,117.85067426978966,116.54723389173544,117.334378805851,1919100
2018-06-21,116.97889709472656,117.22434310535387,115.56542253123716,116.62340396720606,2427600
2018-06-22,117.72371673583984,118.4516085390701,116.98736572977224,117.26667440116665,1735600
2018-06-25,115.64159393310547,117.91837179222195,114.60900313518044,117.34282324043556,2170100
2018-06-26,114.33817291259766,116.04787462293845,114.12657661381137,115.5992915026966,2495200
2018-06-27,112.62847900390625,115.44693021075044,112.50997268374532,114.829072662492,1967500
2018-06-28,113.62718963623047,114.48203386237421,112.93314771643827,112.93314771643827,2904900
2018-06-29,113.53411865234375,114.49899733548718,113.43255655353313,113.51718733093725,2353800
2018-07-02,114.14347839355469,114.19425942575117,112.27296191385547,112.28143402909475,2228800
2018-07-03,113.1278305053711,114.82905983094325,112.22219228977048,114.54975121065927,2794200
