Date,Close,High,Low,Open,Volume
2018-03-12,132.73423767089844,134.4751992909028,132.26623738898584,134.05400189362845,2190400
2018-03-13,132.67808532714844,134.18504686758573,132.50961207426965,133.3613617675497,2013000
2018-03-14,132.3785858154297,133.8387590552919,131.6672303515779,133.305231745724,1310100
2018-03-15,132.65936279296875,133.88552131002305,131.91992859337583,132.51896841400676,1310200
2018-03-16,132.03225708007812,133.33329748792997,132.02290221463937,132.921454892828,2596300
2018-03-19,130.87161254882812,131.55488899720694,129.63608488434883,130.97455890529884,1662000
2018-03-20,131.5548553466797,132.256855626777,131.18044662795512,131.5267764780544,1340800
2018-03-21,131.43319702148438,132.27560609546737,130.6095119577415,131.29280265027143,1231900
2018-03-22,128.4661407470703,131.93871083578608,128.37253493162547,130.1883792062146,1626600
2018-03-23,125.199462890625,129.11195369339643,125.19010802415443,128.28826841234164,2039300
2018-03-26,130.0292205810547,130.21641787187883,126.35074454263992,126.81874491081916,1987200
2018-03-27,126.91232299804688,130.73120731252882,126.3320071731712,130.4878522884085,1798600
2018-03-28,125.33045196533203,127.76405879819082,124.07621481585497,126.9216641234037,2212000
2018-03-29,127.27734375,128.69071364295394,125.9014218750263,126.25710663466782,2524700
2018-04-02,123.61763000488281,127.67986996677557,122.04514126600397,126.32267169074319,3154000
2018-04-03,124.02008056640625,125.58319986797869,122.96239530899615,124.66592327111735,3643500
2018-04-04,127.11824035644531,127.43647713560175,122.0731976478714,122.49439506525326,3194600
2018-04-05,125.8359146118164,129.55183789019432,124.70334767667165,128.14783708321733,2917400
2018-04-06,122.55056762695312,125.6393728647648,121.24017232957245,124.62849037154075,2625500
2018-04-09,122.35398864746094,124.74079282074878,122.21359428289348,123.4584624013501,2449600
2018-04-10,121.5302963256836,124.3289428433099,120.71598049561729,123.98262724334765,3656100
2018-04-11,123.58016204833984,125.08712363407585,122.38208238440222,122.38208238440222,3893100
2018-04-12,124.49744415283203,125.14328690121195,123.42104909369004,124.0294438171639,2901500
2018-04-13,122.67224884033203,125.35856626551558,122.15744560147182,124.99352656563964,1352700
2018-04-16,124.92802429199219,125.6861826328251,123.47722023766042,123.59890490844438,1501400
2018-04-17,128.05426025390625,128.74690595014178,125.85466706192459,126.05121922126625,2928200
2018-04-18,129.45822143554688,130.2819064112858,127.94190525951255,128.11974763220468,1612200
2018-04-19,128.8123779296875,129.77645725488242,128.22270735549233,129.10253578531638,1156300
